proyectos,depto
Ajuste AJF y EAJ,2
Auxiliar por rango de cuentas,2
Bloqueo de Clientes,2
Cadenas Productivas,2
Caja de Ahorro,2
Cancelacion de Saldos Menores para Administrativos,2
Carga de Presupuesto ,2
Control y Admnistración MP,2
Conversión Paq-Pza Remisiones,2
Division 01M y 05M,2
ERP Infor Syteline - PreImplantación,2
ITV en Almacen Mty,2
LayOut Banamex,2
Modificacion de Programas de Pagos,2
Nómina Quincenal,2
Nómina RH,2
Optimización Proceso ERP de Requisiciones y Ordenes de Compra,2
Orden de compra AFI,2
Presupuestos BI,2
Product ID - Código Barras,2
Programación de Producción,2
Proyectos Nuevos o en Cartera,2
Reclasificaciones QR,2
Relacionar Notas de Credito,2
"Reporte ""Remisiones por Traspaso""",2
Reporte de remison MTY,2
Requisiciones activo fijo,2
Restricción de RPP,2
Pantalla para Desbloquear Producto en Uso,2
Retención 6%,2
Total en dolares,2
Adecuación en estructura de documentos XML,2
Asignacion de proveedor a documentos NOM,2
Simulador de Eficiencia de Corte,2
Reporte de Remisiones Pendientes por Facturar,2
Cambio de Fraccion Arancelaria,2
Documentos INB a partir de facturas A1,2
Facturacion de Kit Vigueta y Bovedilla,2
Relacion de Anticipo a Factura,2
TYPPS - Tickets y Procesos Proyectos de Sistemas,2
